Date,Status,Users,UUIDs,Link,Ticket Number,Legundo Mentioned
"Jul 26, 2020 3:07 AM",Withdrawn,"['Soldierus#4284', 'ItsWilven#0001', 'Dominion Tickets#4843']","['143323590970966016', '209116746907516928', '557628352828014614']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/736955079999094967/transcript-pending-0035.html,0035,False
"Jul 26, 2020 2:15 PM",Withdrawn,"['TDS_Tim#4334', 'kevcai#8037', 'Dominion Tickets#4843']","['292005848698322945', '466933907485491222', '557628352828014614']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/736986447306817607/transcript-pending-0036.html,0036,False
"Jul 28, 2020 2:50 AM",Withdrawn,"['Faolán#0551', 'kmskaine#3401', 'Dominion Tickets#4843']","['337169435867611138', '311877089739407361', '557628352828014614']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/737796756661862562/transcript-pending-0039.html,0039,False
"Jul 28, 2020 1:39 AM",Withdrawn,['Dominion Tickets#4843'],['557628352828014614'],https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/738114665800007781/transcript-open-0037.html,0037,False
"Jul 28, 2020 2:26 AM",Withdrawn,"['ShadyPandah#4405', 'ItsWilven#0001', 'pipsqueak42#2238', 'Dominion Tickets#4843']","['143323590970966016', '329875735407755266', '253305441830830090', '557628352828014614']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/738337150562730104/transcript-pending-0038.html,0038,False
"Jul 30, 2020 5:09 AM",Withdrawn,['Dominion Tickets#4843'],['557628352828014614'],https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/738337431824236635/transcript-pending-0041.html,0041,False
"Jul 29, 2020 10:17 PM",Withdrawn,"['kevcai#8037', 'TDS_Marit#0836', 'Dominion Tickets#4843']","['381742980064739328', '466933907485491222', '557628352828014614']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/738552526370111508/transcript-claimed-0040.html,0040,False
"Aug 1, 2020 2:04 AM",Accepted,"['ItsWilven#0001', 'Gnome#8277', 'Dominion Tickets#4843']","['143323590970966016', '201083770957332480', '557628352828014614']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/739281796063297627/transcript-pending-0042.html,0042,False
"Aug 3, 2020 3:37 AM",Withdrawn,"['unajunga#5478', 'kevcai#8037', 'ClaysLostTime#2842', 'Dominion Tickets#4843']","['264924760545296392', '466933907485491222', '162392061864181761', '557628352828014614']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/739899909632950352/transcript-pending-0043.html,0043,False
"Aug 4, 2020 8:43 PM",Withdrawn,"['BobTheSnob_#8659', 'ItsWilven#0001', 'ClaysLostTime#2842', 'Dominion Tickets#4843']","['143323590970966016', '257582185932914688', '162392061864181761', '557628352828014614']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/740316152433213601/transcript-open-0044.html,0044,False
